TransactionID,AccountID,TransactionAmount,AccountBalance,Amount_to_Balance_Ratio,Amount_to_TypeChannelBalanceGroupAvg_Ratio,TransactionType,Channel,Location,CustomerAge,CustomerOccupation,TransactionDuration,IsLongDuration,LoginAttempts,IsHighLoginAttempts,BalanceGroup_ByType,AccountTxCount,DeviceTxCount,MerchantTxCount,IPTxCount,Hour,DayOfWeek,Month,IF_Anomaly,LOF_Anomaly,OCSVM_Anomaly,MCD_Anomaly,IF_Score,LOF_Score,OCSVM_Score,MCD_Score,IF_Score_Norm,LOF_Score_Norm,OCSVM_Score_Norm,MCD_Score_Norm,Average_AnomalyScore_Norm,AnomalyVoteCount,Ensemble_Anomaly,VoteScore,RiskScore,RiskLevel,Top_SHAP_Feature_1,Top_SHAP_Value_1,Top_SHAP_Feature_2,Top_SHAP_Value_2,Top_SHAP_Feature_3,Top_SHAP_Value_3
TX000001,AC00128,14.09,5112.21,0.0027561465589246137,0.04516107481121182,Debit,ATM,San Diego,70,Doctor,81,0,1,0,Medium,7,6,32,3,16,1,4,0,0,0,0,-0.0342380436619244,1.0047643766216567,-1.8038184962426973,-24.790336744055438,0.20487378196437345,0.054086559677841484,0.346085635196692,0.019890113548503688,0.15623402259685265,0,0,0.0,4.69,Low,LoginAttempts,-0.7813,Amount_to_Balance_Ratio,-0.5674,MerchantTxCount,-0.5494
TX000002,AC00455,376.24,13758.91,0.027345189408172595,1.3848707487258494,Debit,ATM,Houston,68,Doctor,141,0,1,0,High,7,5,27,4,16,1,6,0,0,0,0,-0.030169590763071408,0.989757299750635,-2.6670648579151477,-29.06314372818524,0.23814640924726355,0.031276593093111815,0.26141486890288496,0.01815251716728769,0.137247597102637,0,0,0.0,4.12,Low,LoginAttempts,-0.8581,MerchantTxCount,-0.7212,Amount_to_Balance_Ratio,-0.711
TX000003,AC00019,126.29,1122.35,0.11252283155878293,0.4269083156165151,Debit,Online,Mesa,19,Student,56,0,1,0,Low,4,5,30,7,18,0,7,0,0,0,0,-0.03436961215522233,0.9973670858968555,-2.1175111313105193,-31.219313049830802,0.20379778832538908,0.04284306731084597,0.315317366749597,0.017275680927201054,0.1448084758282583,0,0,0.0,4.34,Low,LoginAttempts,-0.7314,Amount_to_Balance_Ratio,-0.7226,MerchantTxCount,-0.641
TX000004,AC00070,184.5,8569.06,0.021530949719105713,0.6098827222710063,Debit,Online,Raleigh,26,Student,25,0,1,0,High,8,6,31,8,16,4,5,0,0,0,0,-0.03934137188974973,1.04273012834874,-2.0207931910346693,-17.81279773677025,0.1631377357944508,0.1117925030605349,0.3248038615454154,0.022727626821133162,0.15561543180538356,0,0,0.0,4.67,Low,Amount_to_Balance_Ratio,-0.8423,LoginAttempts,-0.7178,MerchantTxCount,-0.5575
TX000005,AC00411,13.45,7429.4,0.0018103749966349907,0.047979149765262005,Credit,Online,Atlanta,26,Student,198,1,1,0,High,6,3,31,4,17,0,10,0,0,0,0,-0.0024540126295271025,1.002842994717721,-2.5721731630308584,-22.419492979127668,0.46480998975159304,0.05116616036210897,0.2707222380126774,0.02085425013638796,0.20188815956569184,0,0,0.0,6.06,Low,Amount_to_Balance_Ratio,-0.704,LoginAttempts,-0.6625,MerchantTxCount,-0.6262
TX000006,AC00393,92.15,781.68,0.11788711493194147,0.2725175611117133,Debit,ATM,Oklahoma City,18,Student,172,1,1,0,Low,8,4,27,4,17,0,4,0,0,0,0,-0.04223855639265506,0.9941276689667502,-2.4748949820055524,-37.24869041937358,0.13944397737288694,0.037919324161879375,0.28026368353365566,0.014823750770464323,0.11811268395972158,0,0,0.0,3.54,Low,MerchantTxCount,-0.8001,LoginAttempts,-0.7832,Amount_to_Balance_Ratio,-0.6627
TX000007,AC00199,7.08,13316.71,0.0005316628506590593,0.023180354253436473,Credit,ATM,Seattle,37,Doctor,139,0,1,0,High,1,4,30,4,16,2,2,0,0,0,0,-0.01640920202834595,1.0801047551789813,-0.3258151774842508,-22.13027233596985,0.35068163996537716,0.16859996772813624,0.49105430131607736,0.02097186573306494,0.2578269436856639,0,0,0.0,7.73,Low,LoginAttempts,-0.797,MerchantTxCount,-0.7033,IPTxCount,-0.5975
TX000008,AC00069,171.42,2796.24,0.061303750751008496,0.5624859371484288,Credit,Branch,Indianapolis,67,Retired,291,1,1,0,Medium,7,2,22,7,17,0,5,0,0,0,0,-0.008008501756910313,1.033998687442813,-0.9264770608678949,-27.165620239770924,0.4193842588713386,0.0985211726733819,0.43213890449813835,0.018924171482352092,0.2422421268813027,0,0,0.0,7.27,Low,MerchantTxCount,-0.7568,Amount_to_Balance_Ratio,-0.7414,TransactionDuration,0.718
TX000009,AC00135,106.23,9095.14,0.011679864191205414,0.33521372645759606,Credit,Branch,Detroit,51,Engineer,86,0,1,0,High,2,6,22,5,16,1,3,0,0,0,0,-0.03519660706291744,1.042051384484194,-1.750599569117841,-27.74976641709779,0.19703445739525954,0.11076084812846898,0.3513055672358677,0.018686620315731574,0.16944687326883193,0,0,0.0,5.08,Low,LoginAttempts,-0.682,Amount_to_Balance_Ratio,-0.6203,MerchantTxCount,-0.5955
TX000010,AC00385,815.96,1021.88,0.7984890593807492,2.4130594591938537,Debit,ATM,Nashville,55,Doctor,120,0,1,0,Low,7,4,29,6,16,4,3,0,0,0,0,-0.0315689217811837,1.0471297145784373,-3.1744492434194163,-5.397156473510847,0.22670239832503714,0.11847964245140541,0.211648514089727,0.027776620002815392,0.14615179371724626,0,0,0.0,4.38,Low,Amount_to_TypeChannelBalanceGroupAvg_Ratio,0.8408,MerchantTxCount,-0.6611,IPTxCount,-0.6536
